bedrooms,bathrooms,sqft_living,sqft_lot,floors,condition,yr_built,price
3,1.5,1340,7912,1.5,3,1955,313000
5,2.5,3650,9050,2,5,1921,2384000
3,2,1930,11947,1,4,1966,342000
3,2.25,2000,8030,1,4,1963,420000
4,2.5,1940,10500,1,4,1976,550000
2,1,880,6380,1,3,1938,490000
2,2,1350,2560,1,3,1976,335000
4,2.5,2710,35868,2,3,1989,482000
3,2.5,2430,88426,1,4,1985,452500
4,2,1520,6200,1.5,3,1945,640000
3,1.75,1710,7320,1,3,1948,463000
4,2.5,2920,4000,1.5,5,1909,1400000
3,1.75,2330,14892,1,3,1980,588500
3,1,1090,6435,1,4,1955,365000
5,2.75,2910,9480,1.5,3,1939,1200000
3,1.5,1200,9720,1,4,1965,242500
3,1.5,1570,6700,1,4,1956,419000
4,3,3110,7231,2,3,1997,367500
3,1.75,1370,5858,1,3,1987,257950
3,1.5,1180,10277,1,3,1983,275000
3,1.75,2240,10578,2,5,1923,750000
4,1,1450,8800,1,4,1954,435000
3,2.25,1750,1572,2.5,3,2005,626000
4,2.5,2730,12261,2,3,1991,612500
4,1.75,1600,6380,1,3,1959,495000
3,2.5,2090,10834,1,4,1987,285000
3,1.75,2360,7291,1,4,1948,615000
4,2.25,2200,11250,1.5,5,1920,698000
5,2.5,2820,67518,2,3,1979,675000
3,2.5,2600,4750,1,4,1951,790000
4,1.75,1560,8700,1,4,1967,382500
4,2.5,2860,3345,2,3,2004,499950
4,2,1820,5000,1.5,3,1945,650000
4,2.5,2820,8408,2,3,2014,625000
4,2.5,3630,42884,1.5,3,1979,400000
3,2.5,3240,33151,2,3,1995,604000
2,1,800,4850,1,4,1944,440000
3,3,1850,19966,1,4,1992,287200
3,2,1960,13100,1,5,1957,403000
3,2.5,2390,6550,1,4,1955,750000
3,2.25,1580,16215,1,4,1978,335000
4,2,1480,8625,1,4,1974,260000
2,1,850,6174,1,4,1950,308500
3,2.5,1770,2875,2,3,1990,439950
2,1,1210,9400,1,2,1949,235000
3,1,1160,9180,1,3,1968,315000
3,2.25,1970,35100,2,4,1977,437500
3,2.5,1930,10460,2,3,1996,407500
3,2.5,1270,1180,3,3,2001,445700
4,2.5,3310,42998,2,3,2001,838000
4,2.75,2710,37277,2,3,2000,630000
3,1.75,2910,35200,1.5,3,1979,550000
3,2,2710,4500,1.5,4,1929,805000
3,1.75,1800,23103,1,3,1968,284000
5,2.5,2210,9655,1,3,1976,470000
4,1.5,1920,10000,1,4,1954,430000
4,1.75,2190,125452,1,3,1968,491500
5,3.25,3660,11995,2,3,2006,785000
3,3.25,1320,1327,2,3,2008,385000
2,2.5,1630,1368,2,3,2009,295000
4,2.5,3310,6500,2,3,2012,555000
3,2.5,2680,5539,2,3,2013,459990
4,3.25,2730,54014,1,3,2007,625000
3,2.5,2540,5050,2,3,2006,300000
4,2.75,2920,6605,2,3,2012,625000
2,1,900,5000,1,3,1944,553000
3,2.5,1650,14054,1,4,1986,379880
3,1,1010,9945,1,4,1973,310000
2,2.5,2680,7392,1,3,2004,775000
3,2.5,2200,7350,1,5,1988,365000
4,2.5,2530,9933,2,3,1990,331950
3,2.5,2850,7130,2,3,1980,783500
4,2,2280,6010,1,3,1900,628000
3,2.5,1900,8744,2,3,1987,560000
3,1,1330,77972,1,3,1928,900000
2,3,1270,1175,2,3,2000,531000
4,3,2170,4000,2,4,1982,831000
4,2.5,2730,10281,2,3,1996,780000
4,2.5,2120,10202,1,4,1960,755000
3,2.5,2490,4343,2,3,2003,705380
